会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの,登録エリア,満足度(商品・サービス),満足度(商品・サービス)の理由
105853,スーベニアショップ ラプトル エリア,女,1963,59,50代,高知県,南国市,600万円以上 700万円未満,mobile/iphone,2022-06-05 11:38:03,6月,スーベニアショップ ラプトル エリア,19.スーベニアショップ ラプトル エリア,大野市,勝山市・大野市,勝山市観光まちづくり(株),1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,中学生以上連れの家族,"スポーツ観戦や芸能鑑賞（コンサート等）
",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","40,000円以上 50,000円未満",2～5回目,福井県立恐竜博物館,,若狭歴史博物館,,"5,000円以上 10,000円未満",満足,,感じなかった,,7,,,また行きたい（1年以内）,,,,
105860,越前そばの里 エリア,無回答,1970,52,50代,福井県,福井市,分からない/無回答,mobile/android,2022-06-05 11:32:45,6月,越前そばの里 エリア,29.越前そばの里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"買い物、アウトレット
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","1,000円以上 3,000円未満",初めて,氣比神宮,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,8,,,機会があれば行きたい,,,,
105854,あわら温泉 エリア,女,1974,48,40代,福井県,福井市,200万円以上 300万円未満,mobile/android,2022-06-05 11:30:39,6月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,中学生以上連れの家族,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
インターネット・アプリ
Instagram
",1,0,0,0,0,1,0,1,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",11回目以上,東尋坊,,ゆりの里公園ユリーム春江,,"3,000円以上 5,000円未満",満足,温泉が気持ちいい,感じなかった,,8,温泉,美味しいスィーツ,福井県在住,,,,
105849,道の駅「パークイン丹生ヶ丘」 エリア,女,1982,40,40代,福井県,鯖江市,300万円以上 400万円未満,mobile/iphone,2022-06-05 11:15:27,6月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"その他
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"3,000円以上 5,000円未満","1,000円以上 3,000円未満","20,000円以上 30,000円未満",初めて,金津創作の森,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,7,,,また行きたい（1年以内）,,,,
105839,web,男,1956,66,60代,福井県,勝山市,300万円以上 400万円未満,mobile/iphone,2022-06-05 10:55:43,6月,花の駅 ゆりの里公園 エリア,09.花の駅 ゆりの里公園 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"花見や紅葉などの自然鑑賞
買い物、アウトレット
",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
TV・ラジオ番組やCM
",0,1,1,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,不満,駐車場が少ない,使わない,"1,000円以上 3,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,三国道の駅,選択なし/該当施設なし,,"1,000円以上 3,000円未満",どちらでもない,,感じなかった,,8,,,福井県在住,,,,
105841,越前大野城・城下町 エリア,女,1995,27,20代,福岡県,柳川市,200万円以上 300万円未満,mobile/iphone,2022-06-05 10:50:47,6月,越前大野城・城下町 エリア,15.越前大野城・城下町 エリア,大野市,勝山市・大野市,,2泊,2泊,奥越前エリア（勝山市・大野市）,石川県金沢市,友人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"在来線
飛行機
",1,0,0,0,1,0,0,"自家用車
",0,0,0,0,とても満足,,"3,000円以上 5,000円未満","30,000円以上 40,000円未満","3,000円以上 5,000円未満",初めて,福井駅,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",とても満足,,感じなかった,,10,,,また行きたい（1年以内）,,,,
105840,道の駅「パークイン丹生ヶ丘」 エリア,男,1978,44,40代,福井県,越前市,300万円以上 400万円未満,mobile/android,2022-06-05 10:48:02,6月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,自分ひとり,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光展・物産展
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
在来線
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円未満",とても満足,,感じなかった,,3,,,,,,,
105830,web,女,1960,62,60代,大阪府,豊中市,分からない/無回答,mobile/iphone,2022-06-05 10:22:13,6月,かずら橋 エリア,37.かずら橋 エリア,池田町,丹南,,2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,中学生以上連れの家族,"温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
スポーツ観戦や芸能鑑賞（コンサート等）
まちあるき、都市散策
",0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,"観光展・物産展
TV・ラジオ番組やCM
観光パンフレット・ポスター
インターネット・アプリ
Instagram
",1,0,1,1,0,1,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,一乗谷朝倉氏遺跡,三方五湖,あわら温泉街,,"1,000円未満",どちらでもない,かずら橋には感動がありましたが、アンケート内容が盛りだくさんで&hellip;,感じなかった,,10,勧めたくないけど&hellip;一乗谷での源氏蛍が幻想的で感動しました。,,機会があれば行きたい,,,,
105831,web,女,1987,35,30代,大阪府,豊中市,分からない/無回答,mobile/iphone,2022-06-05 10:15:58,6月,かずら橋 エリア,37.かずら橋 エリア,池田町,丹南,,2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,親,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
観光連盟やDMOのHP
インターネット・アプリ
Instagram
観光協会等の案内所
",0,1,0,1,1,1,0,1,0,0,0,1,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,一乗谷朝倉氏遺跡,,あわら温泉街,,"1,000円未満",満足,,感じなかった,,4,,,機会があれば行きたい,,,,
105823,レインボーライン エリア,男,1959,63,60代,滋賀県,長浜市,600万円以上 700万円未満,mobile/iphone,2022-06-05 09:36:28,6月,レインボーライン エリア,59.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,満足,,使わない,"3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",満足,,感じなかった,,8,,,また行きたい（1年以内）,,,,
105822,スーベニアショップ ラプトル エリア,男,1983,39,30代,石川県,金沢市,700万円以上 800万円未満,mobile/iphone,2022-06-05 09:23:40,6月,スーベニアショップ ラプトル エリア,19.スーベニアショップ ラプトル エリア,大野市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"TV・ラジオ番組やCM
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"5,000円以上 10,000円未満",使わない,"3,000円以上 5,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"5,000円以上 10,000円未満",満足,,感じなかった,,9,,,また行きたい（1年以内）,,,,
105819,道の駅「パークイン丹生ヶ丘」 エリア,女,1986,36,30代,福井県,敦賀市,500万円以上 600万円未満,mobile/android,2022-06-05 09:04:22,6月,道の駅「パークイン丹生ヶ丘」 エリア,39.道の駅「パークイン丹生ヶ丘」 エリア,越前町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,親,"地元の美味しいものを食べる
テーマパーク（遊園地、動物園、博物館など）
",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,無料駐車場がありとめやすかった,使わない,使わない,"3,000円以上 5,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,使わない,満足,,感じなかった,,5,,,また行きたい（1年以内）,,,,
105816,web,男,1968,54,50代,滋賀県,草津市,"1,000万円以上 1,200万円未満",mobile/android,2022-06-05 09:02:53,6月,道の駅「若狭おばま」 エリア,51.道の駅「若狭おばま」 エリア,小浜市,嶺南西部,(株)まちづくり小浜,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
名所、旧跡の観光
ドライブ・ツーリング
",0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"観光パンフレット・ポスター
観光協会等の案内所
",0,0,0,1,0,0,0,0,0,0,0,1,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",2～5回目,ホテルうみんぴあ,,道の駅「若狭熊川宿」,,"3,000円以上 5,000円未満",とても満足,品数が豊富で、欲しいものが見つかった。飲食も美味しかった。隣接している観光施設も良かった。,感じなかった,,10,景勝地が多く、食べ物も美味しい。,海産物を買って、その場で焼いて食べるような施設(セルフバーベキュー)があると良い。,また行きたい（1年以内）,,,,
105811,web,女,1982,40,40代,滋賀県,湖南市,600万円以上 700万円未満,mobile/android,2022-06-05 07:15:22,6月,赤礁崎オートキャンプ場 エリア,67.赤礁崎オートキャンプ場 エリア,おおい町,嶺南西部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,小学生以下連れの家族,"名所、旧跡の観光
アウトドア（海水浴、釣り、登山など）
",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"1,000円以上 3,000円未満","3,000円以上 5,000円未満","10,000円以上 20,000円未満",初めて,舞鶴（京都府）,,三方五湖,,"10,000円以上 20,000円未満",とても満足,設備が整っていて、景色もよく、大満足です！,感じなかった,,8,ゆっくりできる場所なので、キャンプ場を特に薦めたいです。,周りに店や飲食店がないので（そういった不便さはキャンプをする上では好きです）、キャンプ場の売店の食料品の品揃えをもう少し増やしてもらえると、さらに嬉しいです。,また行きたい（1年以内）,"福井に行ったら美味しい魚介類が食べたいと思い、道の駅に行ったのですが、あまり種類がなく、少し残念でした。
刺身や煮魚定食のようなものを置いてほしかったです。",,,
105809,花の駅 ゆりの里公園 エリア,女,1985,37,30代,福井県,福井市,分からない/無回答,mobile/iphone,2022-06-05 00:49:43,6月,花の駅 ゆりの里公園 エリア,09.花の駅 ゆりの里公園 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,4泊以上,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,自分ひとり,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
インターネット・アプリ
",0,1,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"1,000円以上 3,000円未満","1,000円未満","1,000円以上 3,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,5,,,機会があれば行きたい,,,,
105808,越前和紙の里 エリア,女,1990,32,30代,福井県,丹生郡,200万円以上 300万円未満,mobile/iphone,2022-06-05 00:15:31,6月,越前和紙の里 エリア,28.越前和紙の里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,三国・あわらエリア（あわら市・坂井市）,石川県加賀市,友人,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,使わない,"3,000円以上 5,000円未満","1,000円未満",6～10回目,選択なし/該当施設なし,,ツリーピクニックアドベンチャーいけだ,,"1,000円未満",満足,うだつの工芸館の展示がなかった。,感じなかった,,7,安くて雰囲気がよかった,いろんな種類の紙漉き,機会があれば行きたい,オーブンカフェ的なやつ,,,
105807,道の駅「越前」 エリア,女,1981,41,40代,石川県,金沢市,分からない/無回答,mobile/iphone,2022-06-05 00:11:02,6月,道の駅「越前」 エリア,38.道の駅「越前」 エリア,越前町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,友人,"ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"インターネット・アプリ
Facebook
",0,0,0,0,0,1,0,0,1,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"3,000円以上 5,000円未満","30,000円以上 40,000円未満",初めて,ふれあいパーク三里浜(道の駅「みくに」),,選択なし/該当施設なし,,"3,000円以上 5,000円未満",満足,,感じなかった,,8,,,また行きたい（1年以内）,,,,
105830,web,女,1960,62,60代,大阪府,豊中市,分からない/無回答,mobile/iphone,2022-06-06 15:47:18,6月,三方五湖 エリア,63.三方五湖 エリア,若狭町,嶺南東部,三方五湖DMO(株),2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,中学生以上連れの家族,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,めがねミュージアム,,福井県年縞博物館,,"1,000円未満",満足,,感じなかった,,5,,,機会があれば行きたい,,,,
105831,web,女,1987,35,30代,大阪府,豊中市,分からない/無回答,mobile/iphone,2022-06-06 15:45:12,6月,三方五湖 エリア,63.三方五湖 エリア,若狭町,嶺南東部,三方五湖DMO(株),2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,親,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"観光協会等の案内所
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,めがねミュージアム,,福井県年縞博物館,,"1,000円未満",どちらでもない,,感じなかった,,5,,,機会があれば行きたい,,,,
105830,web,女,1960,62,60代,大阪府,豊中市,分からない/無回答,mobile/iphone,2022-06-06 12:51:38,6月,めがねミュージアム エリア,33.めがねミュージアム エリア,鯖江市,丹南,,2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,中学生以上連れの家族,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,あわら温泉街,,福井県年縞博物館,,"1,000円未満",どちらでもない,,感じなかった,,5,,,機会があれば行きたい,,,,
105831,web,女,1987,35,30代,大阪府,豊中市,分からない/無回答,mobile/iphone,2022-06-06 12:51:07,6月,めがねミュージアム エリア,33.めがねミュージアム エリア,鯖江市,丹南,,2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,親,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"観光協会等の案内所
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,選択肢なし,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,あわら温泉「芦湯」,,福井県年縞博物館,,"1,000円未満",満足,,感じなかった,,8,,,機会があれば行きたい,,,,
105890,越前そばの里 エリア,男,1970,52,50代,福井県,福井市,500万円以上 600万円未満,mobile/android,2022-06-06 07:01:47,6月,越前そばの里 エリア,29.越前そばの里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,自宅,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"3,000円以上 5,000円未満","1,000円未満","1,000円以上 3,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,8,,,,,,,
105811,web,女,1982,40,40代,滋賀県,湖南市,600万円以上 700万円未満,mobile/android,2022-06-08 18:48:14,6月,熊川宿 エリア,62.熊川宿 エリア,若狭町,嶺南東部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,小学生以下連れの家族,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"1,000円以上 3,000円未満","3,000円以上 5,000円未満","10,000円以上 20,000円未満",初めて,赤礁崎オートキャンプ場,,選択なし/該当施設なし,,"1,000円未満",不満,日曜日の昼下りに行きましたが、あまり店が開いてなくて、残念でした。,感じなかった,,1,熊川宿の道の駅が新しくてきれいでした。,"こどもがお菓子を買いたかったのですが、お土産のお菓子以外があまり置いてなくてかえませんでした。
また、店が少なくて、街歩きの場所としては残念でした。",また行きたい（1年以内）,新鮮な魚介類が食べられるところがもっと増えてほしいです。,,,
105805,道の駅「パークイン丹生ヶ丘」 エリア,男,1970,52,50代,福井県,福井市,800万円以上 900万円未満,mobile/iphone,2022-06-12 21:39:12,6月,道の駅「西山公園」 エリア,32.道の駅「西山公園」 エリア,鯖江市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"買い物、アウトレット
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,9,,,,,,,
105805,道の駅「パークイン丹生ヶ丘」 エリア,男,1970,52,50代,福井県,福井市,800万円以上 900万円未満,mobile/iphone,2022-06-12 14:46:42,6月,越前そばの里 エリア,29.越前そばの里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
買い物、アウトレット
",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
インターネット・アプリ
",0,0,0,1,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",どちらでもない,,感じなかった,,5,,,,,,,
105849,道の駅「パークイン丹生ヶ丘」 エリア,女,1982,40,40代,福井県,鯖江市,300万円以上 400万円未満,mobile/iphone,2022-06-12 13:05:50,6月,北潟湖 エリア,14.北潟湖 エリア,あわら市,あわら市・坂井市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,小学生以下連れの家族,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
お祭りやイベントへの参加・見物
ドライブ・ツーリング
",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
徒歩
",0,0,1,0,不満,"駐車場の警備員の対応が悪い。
中で満車になっているのに、どんどん入らせている為、混乱と渋滞が起きていた。","5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,一乗谷朝倉氏遺跡,,ゆりの里公園ユリーム春江,,"1,000円以上 3,000円未満",満足,,感じた,,8,,,福井県在住,,,,
105885,web,男,1974,48,40代,福井県,福井市,500万円以上 600万円未満,mobile/android,2022-06-12 13:00:29,6月,道の駅「恐竜渓谷かつやま」 エリア,20.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井エリア（福井市・永平寺町）,石川県金沢市,自分ひとり,"地元の美味しいものを食べる
買い物、アウトレット
アウトドア（海水浴、釣り、登山など）
",0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
インターネット・アプリ
",0,1,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,とても満足,,"1,000円以上 3,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",2～5回目,一乗谷朝倉氏遺跡,,選択なし/該当施設なし,,"1,000円未満",とても満足,,感じなかった,,2,,,,,,,
105891,web,男,1956,66,60代,福井県,吉田郡,500万円以上 600万円未満,mobile/android,2022-06-13 07:06:06,6月,丸岡城 エリア,08.丸岡城 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"名所、旧跡の観光
まちあるき、都市散策
",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"TV・ラジオ番組やCM
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
徒歩
",0,0,1,0,,,使わない,"1,000円未満","1,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円以上 3,000円未満",満足,,感じなかった,,5,,,福井県在住,,,,
105885,web,男,1974,48,40代,福井県,福井市,500万円以上 600万円未満,mobile/android,2022-06-18 18:07:33,6月,道の駅みくに ふれあいパーク三里浜 エリア,10.道の駅みくに ふれあいパーク三里浜 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"花見や紅葉などの自然鑑賞
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"1,000円以上 3,000円未満","1,000円未満","1,000円未満",2～5回目,吉崎御坊跡,,越前陶芸村,,"1,000円未満",とても満足,,感じなかった,,2,,,また行きたい（1年以内）,,,,
